date,keyword,search_interest,platform
2023-07-02,bánh online,50,google
2023-07-09,bánh online,51,google
2023-07-16,bánh online,52,google
2023-07-23,bánh online,44,google
2023-07-30,bánh online,49,google
2023-08-06,bánh online,53,google
2023-08-13,bánh online,56,google
2023-08-20,bánh online,62,google
2023-08-27,bánh online,58,google
2023-09-03,bánh online,57,google
2023-09-10,bánh online,62,google
2023-09-17,bánh online,56,google
2023-09-24,bánh online,61,google
2023-10-01,bánh online,71,google
2023-10-08,bánh online,65,google
2023-10-15,bánh online,49,google
2023-10-22,bánh online,43,google
2023-10-29,bánh online,47,google
2023-11-05,bánh online,48,google
2023-11-12,bánh online,33,google
2023-11-19,bánh online,45,google
2023-11-26,bánh online,45,google
2023-12-03,bánh online,41,google
2023-12-10,bánh online,47,google
2023-12-17,bánh online,33,google
2023-12-24,bánh online,41,google
2023-12-31,bánh online,46,google
2024-01-07,bánh online,43,google
2024-01-14,bánh online,49,google
2024-01-21,bánh online,51,google
2024-01-28,bánh online,48,google
2024-02-04,bánh online,44,google
2024-02-11,bánh online,44,google
2024-02-18,bánh online,37,google
2024-02-25,bánh online,39,google
2024-03-03,bánh online,58,google
2024-03-10,bánh online,45,google
2024-03-17,bánh online,39,google
2024-03-24,bánh online,62,google
2024-03-31,bánh online,55,google
2024-04-07,bánh online,53,google
2024-04-14,bánh online,47,google
2024-04-21,bánh online,26,google
2024-04-28,bánh online,37,google
2024-05-05,bánh online,41,google
2024-05-12,bánh online,52,google
2024-05-19,bánh online,58,google
2024-05-26,bánh online,46,google
2024-06-02,bánh online,36,google
2024-06-09,bánh online,47,google
2024-06-16,bánh online,40,google
2024-06-23,bánh online,49,google
2024-06-30,bánh online,49,google
2024-07-07,bánh online,34,google
2024-07-14,bánh online,59,google
2024-07-21,bánh online,44,google
2024-07-28,bánh online,47,google
2024-08-04,bánh online,51,google
2024-08-11,bánh online,60,google
2024-08-18,bánh online,62,google
2024-08-25,bánh online,71,google
2024-09-01,bánh online,56,google
2024-09-08,bánh online,62,google
2024-09-15,bánh online,58,google
2024-09-22,bánh online,45,google
2024-09-29,bánh online,55,google
2024-10-06,bánh online,51,google
2024-10-13,bánh online,45,google
2024-10-20,bánh online,39,google
2024-10-27,bánh online,42,google
2024-11-03,bánh online,55,google
2024-11-10,bánh online,48,google
2024-11-17,bánh online,54,google
2024-11-24,bánh online,55,google
2024-12-01,bánh online,51,google
2024-12-08,bánh online,53,google
2024-12-15,bánh online,65,google
2024-12-22,bánh online,52,google
2024-12-29,bánh online,54,google
